IdA	IdB	score	publications	detectionMethods	interactionTypes
P39683	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P16467	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P07170	P53076	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P47137	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P40513	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P06738	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P08524	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P40892	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q05979	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P40959	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q04458	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P38009	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P40217	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P80210	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P35202	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P38720	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P38998	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P23542	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P39015	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P32835	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q04697	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P30952	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q10740	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P50101	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P50278	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P37254	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q08686	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q08444	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P46151	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P54885	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q08968	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P41816	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P38081	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q01454	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P46655	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P38158	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P25561	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P38787	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P25044	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P21524	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P10356	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P53183	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P17967	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P25576	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P16120	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q07505	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P10963	P46995	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q05775	P46995	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P47137	P46995	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P00817	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P80210	P46995	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P32614	P46995	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P39015	P46995	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P00925	P46995	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P46680	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q04212	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P00331	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P16862	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q99260	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q04491	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P15274	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P40318	P54007	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P41903	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P38716	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P31539	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P10592	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P53265	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P53101	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P17076	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P53051	P40318	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P53265	P46995	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P49723	P46995	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q06405	P46995	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P34164	P46995	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P11353	P46995	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q03919	P46995	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q07505	P46995	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q12122	P46995	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P06367	P46995	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P32381	P46995	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P32419	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P47137	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P38758	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P06738	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P11154	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P39683	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P53874	P46995	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
O13550	P46995	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P25561	P46995	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P53089	P46995	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P06787	P46995	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P38081	P46995	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q06597	P46995	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q06593	P46995	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P23254	P46995	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P41816	P46995	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P21242	P46995	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P48559	P46995	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P53864	P46995	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P01094	P46995	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P04802	P46995	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P46984	P46995	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q06597	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P38081	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P06787	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P38158	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q12298	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P53089	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P38729	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P25561	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P38934	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P22696	P54885	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P21242	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q02872	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P15496	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P41816	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P22696	P23254	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P22696	Q06593	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P23542	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P07278	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P30952	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P39015	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P00925	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P46683	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P33399	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q05775	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q05979	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P47176	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P40959	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
O13550	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P53874	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P40217	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P32614	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P80210	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q03919	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P12612	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q12122	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P11353	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P34164	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P53088	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q12306	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P32803	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P32419	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P47137	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P38758	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P06738	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P32381	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q07505	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P00817	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P06367	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P53839	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P53864	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P36019	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P22696	P01094	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q08492	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P37254	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P20095	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P48559	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P38773	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P53051	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P49723	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P53265	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P15274	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P15019	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P10592	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P46984	P22696	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P53864	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P01094	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P20095	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P48559	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P10592	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P04802	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P46680	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P15274	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P06787	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q06597	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q12298	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P38158	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P15496	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P37254	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P23254	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q08968	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P53874	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P80210	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P32614	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P39015	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P38729	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P25561	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
O13550	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P40217	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P25617	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P33399	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P36060	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P39683	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P30952	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P00925	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P10963	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q05775	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P35202	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q04336	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q04458	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P40959	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q03210	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q06169	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q05979	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P25039	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P25345	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q04697	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P23542	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P38998	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P04801	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P38720	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P42935	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q06508	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P11353	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q03919	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q07505	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
Q12122	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P06367	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P33203	P32381	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
P53982	P33203	0.43887317	pubmed:16606443	psi-mi:"MI:0089"(protein array)	psi-mi:"MI:0407"(direct interaction)
